index,last_strategy,last_income,neighbor_index,neighbor_strategy,neighbor_income,R,strategy,X,vector,time
5,1,0.186667,1,1,3.42857,0.181111,1,0.833333,1;0;1;1;1;1,2019-5-04 06:01:22
5,1,0.186667,2,0,0.247778,0.142005,0,0.666667,1;0;1;1;0;1,2019-5-04 06:01:27
