index,last_strategy,last_income,neighbor_index,neighbor_strategy,neighbor_income,R,strategy,X,vector,time
6,1,0.186667,4,1,3.42857,0.155556,0,0.666667,0;1;1;1;1;0,2019-5-15 10:04:46
6,0,0.266667,1,0,0.222222,0.123292,0,0.666667,0;1;1;1;1;0,2019-5-15 10:05:02
6,0,0.222222,1,0,0.189959,0.0990464,0,0.666667,0;1;1;1;1;0,2019-5-15 10:05:06
6,0,0.189959,4,1,2.57143,0.0803691,0,0.666667,0;1;1;1;1;0,2019-5-15 10:05:14
6,0,0.165713,3,1,2.57143,0.0657142,0,0.666667,0;1;1;1;1;0,2019-5-15 10:05:21
